,Address,Type,Name
0,STEP IN PHYSIOTHERAPY ,Hospitals/Healthcare,"G-155, Sector - 44 Noida, G B Nagar, UP"
1,Royal Massage Services ,Hospitals/Healthcare,Juhu Tara
2,Lifeberries Dental Clinic ,Hospitals/Healthcare,"4th Floor, 403, Town Square, Airport Rd, above Dorabjee’s VIP, behind Viman Nagar Road, Mhada Colony, Viman Nagar, Pune, Maharashtra 411014"
3,Tulasi Healthcare ,Hospitals/Healthcare,"Golf Course Extension Road, opposite M3M URBANA, next to Shriram millennium school, Sector 64, Gurugram, Haryan"
4,Elite Dental Clinic Bhubaneswar ,Hospitals/Healthcare,"Plot no. 511/2841, Phase-II, Kanan Vihar, Patia"
5,Netram Eye Care [Dr. Siddharth Malaiya] – Best Ophthalmologist | Eye Doctor | surgeon | Cornea Specialist ,Hospitals/Healthcare,"Netram, Plot no. 335, 80 Feet Rd, Mandakini Colony, Kolar Rd, "
6,JEEV AN AYURVEDA ,Hospitals/Healthcare,Dharampur
7,Hearing For Life Pvt Ltd ,Hospitals/Healthcare,"12, G/F ICICI Bank, C. V. Raman Marg, New friends colony, New Delhi- 110025"
8,Best Knee replacement surgery in Raipur - Dr. Pratik Dhabalia ,Hospitals/Healthcare,"Beside Balgopal Hospital, In front of ashirwad bhavan"
9,Recure Healthcare ,Hospitals/Healthcare,"B-505 Jankalyan Apartment, Near Astron Cinema, Sardar Nagar Main Road,"
10,Blue Bell Plus Hearing Aids And Speech Therapy ,Hospitals/Healthcare,"Office No 109,First Floor, Abc Nirman Building, near Life Care Clinic, Gujar Nagar, Sai Colony, Thergaon, Pimpri-Chinchwad, Maharashtra 411033"
11,Dr Hair Lotion ,Hospitals/Healthcare,"1-1-187/3/32, Vivek Nagar, Near More Super Market, Chikkadapally, Hyderabad,"
12,Batharaju Healthcare Services in Dilsukhnagar ,Hospitals/Healthcare,dilsukh nagar
13,Purvangi Shukla ,Hospitals/Healthcare,"505 - Swati Crimson & Clover Khayati Circle, Thaltej"
14,Healthray Technologies Pvt. Ltd. ,Hospitals/Healthcare,"1st Floor, A – Millenium Point, Opp. Gabani Kidney Hospital, Lal Darwaja Station Rd,Surat – 395003,"
15,Eyez Lens Optical And Eye Clinic ,Hospitals/Healthcare,"C-52 Main 100 Feet Road, Jyoti Colony, opposite CM Patel Hospital, Durga Puri, Shahdara,"
16,Dr Nikhil Gadre ,Hospitals/Healthcare,"6158, Sidheshwar Peth, Near Zilla Parishad"
17,ASK Dr. Jain ,Hospitals/Healthcare,"Gautam Buddha Marg, Opposite Mohan Hotel & SBI ATM"
18,Shri  Aadishakti Hospital ,Hospitals/Healthcare,"Bhutada Complex, opposite Police Station. Main Road Saykheda"
19,Dr Datta Ram U ,Hospitals/Healthcare,"45, KIMS-Sunshine Hospitals, 45, 7-56/19, Survey No. 40, 46, Dargah Road LIG Chitrapuri Colony, Prashant Hills, Radhe Nagar, Gachibowli, Rai Durg, Hyderabad, Telangana 500032"
20,homoeopathy clinic ,Hospitals/Healthcare,"Sheran Wala Gate, Patiala, Punjab 147001"
21,BNP Clinic And Rehabilitation Center ,Hospitals/Healthcare,"C, Vaishali Vikas Samiti, 109, Gokul Path, near Vaishali Marg, Block C, Vaishali Nagar, Jaipur, Rajasthan 302001"
22,Dr Manish Vaishnav Best Orthopedic And Ligament Surgeon in Jaipur ,Hospitals/Healthcare,"1st floor 28 Shiv Shakti Nagar, near Indo Bharat School, Nirman Nagar, Jaipur, Rajasthan 302019"
23,Ankuran IVF Clinic ,Hospitals/Healthcare,"Shaila Towers, Third Floor, Sector V, Salt Lake, Kolkata, West Bengal 700091"
24,Dr. Hardik Padhiyar - Best Orthopedic Doctor in Ahmedabad ,Hospitals/Healthcare,"AB Plus Hospital, Block V, Mondeal Business Park, Sarkhej - Gandhinagar Hwy, near Gurudwara, thaltej, Ahmedabad, Gujarat 380054"
25,f7surgicalequipments ,Hospitals/Healthcare,"2nd Floor,
Podium Mall,

 beside VIP International School,  Tolichowki, Hyderabad, 500008"
26,Healthy Smiles Multispeciality Dental Clinic ,Hospitals/Healthcare,"731P, Sector 31, Gurgaon"
27,Harmoniee ,Hospitals/Healthcare,"Dera, 7/27, Rd Number 2, opposite Apna Bazar, Yashwant Nagar, Goregaon West, Mumbai, Maharashtra"
28,Dr Shitals Homeopathy Clinic ,Hospitals/Healthcare,"Office No.: 419, Wakad Business Bay, Behind Hotel Tip Top International, Off-Service Road, Mumbai Expressway, Wakad, Pimpri-Chinchwad, Pune."
29,cordycepzcure ,Hospitals/Healthcare,"1003, Pearls Business Park, Netaji Subhash Place, new Delhi, India"
30,dr aman bathla ,Hospitals/Healthcare,"unit 534-535 tower b2, spaze itech park, sector 49, sohna road, gurugram"
31,Sujan Singh Dental Implant Centre Jalandhar ,Hospitals/Healthcare,"419 L, GTB Road, near KFC, GTB Road, Model Town"
32,"AWISH Clinic - Hair Transplant clinic, Skin, Laser & Slim center in Delhi ",Hospitals/Healthcare,"J-232, Pocket J, Sarita Vihar, New Delhi, Delhi 110076"
33,kneecare ,Hospitals/Healthcare,"E-58, Girdhar Marg, Siddharth Nagar, Malviya Nagar, Jaipur"
34,Dr Nihar Ranjan Biswal ,Hospitals/Healthcare,"KALINGA CLINIC Medical road, Ranihat, Cuttack, 753007"
35,MKS NURSING HEALTHCARE SERVICE ,Hospitals/Healthcare,"1899/80/3,Gali no.10,Rajiv Nagar"
36,Dr  Sudhir Sharam ,Hospitals/Healthcare,"105, Main King's Road, Next to Shyam Nagar Police Station,"
37,Focus Healthcare ,Hospitals/Healthcare,"Plot No. 75, Industrial Focal Point, Phase-9, Mohali"
38,F7 Medical Equipments | Oxygen Concentrator For Rent | OXYGEN CYLINDER FOR RENT | Hospital Bed In Hyderabad ,Hospitals/Healthcare,"Lane Number 3, Tawakkal Nagar, Sanjay Gandhi Nagar, Yella Reddy Guda"
39,Kneecares  ,Hospitals/Healthcare,"E-58, Girdhar Marg, Siddharth Nagar, Malviya Nagar, Jaipur"
40,Best Dentist In Hyderabad ,Hospitals/Healthcare,"4th Floor, B- Block, Essen Presidential, opp. Rajapushpa Atria, Narsingi, Kokapet, Telangana 500075"
41,Amaya Dental Clinic ,Hospitals/Healthcare,"8/1, 1st Floor, Palace Rd, Vasanth Nagar,"
42,Dr Neha Batra ,Hospitals/Healthcare,"Q-4, Rajouri Garden, New Delhi -110027"
43,Benecare IVF and Fertility Clinic ,Hospitals/Healthcare," 1st Floor, SK Business Park, opposite ABZ, Sahyadri Farms, Lalit Estate, Baner, Pune, Maharashtra 411045"
44,karishmacosmetic ,Hospitals/Healthcare,"233,Sunrise plaza, 2nd Floor Above ICIC Bank Near Kohinoor Hotel, M G Road, CAMP, Pune, 411 001"
45,Karishma Cosmetic Pune ,Hospitals/Healthcare,"233,Sunrise plaza, 2nd Floor Above ICIC Bank Near Kohinoor Hotel, M G Road, CAMP, Pune, 411 001"
46,Supratech Laboratory ,Hospitals/Healthcare,"Raiya Road, Nr Jamnagri Ghughra"
47,Refresh City Day Spa ,Hospitals/Healthcare,"E-48 , Second Floor, Above Federal Bank, Hauz Khas E- Block Market, New Delhi -110016"
48,Dr Mehraaj Sandu ,Hospitals/Healthcare,"SCO 11, First Floor Sector, Fortis Med Centre, Dr. Mehraaj Sandhu, C/o, 11D"
49,Dr Saival Dalal Orthopedic surgeon in Ahmedabad  ,Hospitals/Healthcare," ArthroOne Orthopaedic Speciality Centre 4th, 5th Floor, Niramya, B/h, Rajpath Rangoli Rd, opp. Shivalik Business Centre, Bodakdev, Ahmedabad, Gujarat 380054"
50,Dr Gaurang Krishna - Hair Transplant Surgeon and Dermatologist in Delhi ,Hospitals/Healthcare,"A1 303-304, Ground basement, Safdarjung Enclave, New Delhi, Delhi"
51,Apollomedics Hospital ,Hospitals/Healthcare,"KBC 31, Kanpur - Lucknow Rd, Shringar Nagar, Sector B, Singar Nagar, LDA Colony, Lucknow, Uttar Pradesh 226012"
52,Dentcraft ,Hospitals/Healthcare,"NL-01, Hazipur main market, Sector-104 near Yellow Chilli Restaurant, PATANJALI BUILDING, Noida, Uttar Pradesh 201304"
53,Dr MSS Keerthi Sr Counsultant Surgical oncologist ,Hospitals/Healthcare,"Evoke Clinic, NCL Shankari Complex, above Konnect Diagnostics, Bashirabad, Kompally, Hyderabad, Secunderabad,"
54,NObesity ,Hospitals/Healthcare,"Vaishnodevi Circle, SG Road, Ahmedabad -382421, Gujarat"
55,Buysm medicine ,Hospitals/Healthcare,"32, Sainath Industrial Premises Co-Op Society Ltd, Mahakali Caves Rd"
56,Bliss Womens Clinic Agra ,Hospitals/Healthcare,"34, New Raja Mandi, Agra"
57,Simpladent India ,Hospitals/Healthcare,"4th floor, KM Trade tower, Radisson Blu Kaushambi, Ghaziabad, India"
58,Dazzling Dents ,Hospitals/Healthcare,"116, 117, Jagganath Commerce Plaza, Manpada Road, Near Godrej Showroom, Dombivli (East)"
59,Thrissur piles clinic/ Dr Raviram S ,Hospitals/Healthcare,"1st Floor, Room no.2, Zabs Fort, Collectorate Road, Civil Lines Rd, West Fort"
60,Saloni Nursing Home ,Hospitals/Healthcare,"Saloni Nursing Home, Purnia, Bihar 854302, India"
61,Ace Dental ,Hospitals/Healthcare,"Pillar No 9, Satya Nivas Building, Between SBI & Pista house, 1-8-541, beside pista house, Chikkadpally, New Nallakunta, Hyderabad, Telangana 500020"
62,IClinix Advanced Eye And Retina Centre Lajpat Nagar ,Hospitals/Healthcare,"26, National Park Rd, near Moolchand Metro station, Vikram Vihar, Lajpat Nagar IV, Lajpat Nagar 4, New Delhi, Delhi 110024"
63,Hair Transplant by Dr. Jangid ,Hospitals/Healthcare,"215, Block J, Saket, New Delhi, Delhi 110017"
64,Fare Labs ,Hospitals/Healthcare,"Gurgaon, Haryana, India"
65,Prapti Speech and Hearing Solutions ,Hospitals/Healthcare,"Ground floor, Janaki Bhawan, Plot No.-A/102, near Rajdhani Gas, opposite to NB Towers, Nayapalli "
66,Clinfinite Soliutions ,Hospitals/Healthcare,"2nd Floor, G Tower, Gachibowli Road, Hyderabad"
67,Vishwam Ayurveda ,Hospitals/Healthcare,"94D, Saraswati Kunj, Golf Course Rd, near Mahindra Showroom, Sector 53, Gurugram, Haryana"
68,vision plus eye centre ,Hospitals/Healthcare,"Kisan Tower FF, SF & TF, Capt Shashikant Sharma Marg, Hoshiarpur, Sector 51, Noida, Uttar Pradesh 201301"
69,ASG Eye Hospital ,Hospitals/Healthcare,"1, Pal Link Rd, Kamla Nehru Nagar, Shyam Nagar"
70,DHI- Hair Transplant Clinic Delhi ,Hospitals/Healthcare,"A- 2/25 Safdarjung Enclave New Delhi, Delhi 110029"
71,SHROBONEE Your Hearing Aid Specialist ,Hospitals/Healthcare,9B MOHANLAL STREET
72,Bglam hairstudio ,Hospitals/Healthcare,"Near Google Office, Kondapur, Hyderabad, Telangana 500084."
73,hairclinic ,Hospitals/Healthcare,"TG EssGee, Second floor, 697, 11th Main Rd, opposite to Sri Raghavendra Swamy Mutt, Vishya Bank Colony, 5th Block, Jayanagar, Bengaluru, Karnataka 560041"
74,Healthonier ,Hospitals/Healthcare,"H-187, Sector 63 Workwings, Lohia Road"
75,Dr Singh Clinic ,Hospitals/Healthcare,"Atta Market, Pocket E, Sector 27, Noida, Uttar Pradesh"
76,Eye D Eye and Diabetes Centre ,Hospitals/Healthcare,"234, Green Elina, Anand Mahal Rd, Giriraj Society, Adajan, Surat, Gujarat "
77,Bodyzone ,Hospitals/Healthcare,"S.C.O. 180-187, Second Floor, Madhya Marg, Sector 9c"
78,Shri Balmukand Apex Hospital ,Hospitals/Healthcare,"Opposite Netaji Park, Sharma Niwas Hospital Rd, above Apex Diagnostics, Madhuban Colony"
79,Hair Wig Solution ,Hospitals/Healthcare,"2151/E, New Patel Nagar, Shadipur Depot, Near Metro Station New Delhi, India"
